"","refmet_name","super_class","main_class","sub_class","formula","exactmass","inchi_key","pubchem_cid","standard","pubchem_sid","KEGGID","chebiid"
"791","Taurocholic acid","Sterol Lipids","Bile acids","C24 bile acids","C26H45NO7S","515.2917","WBWWGRHZICKQGZ-HZAMXZRMSA-N","6675",NA,86672,NA,"28865"
"626","Lignoceric acid","Fatty Acyls","Fatty acids","Saturated FA","C24H48O2","368.3654","QZZGJDVWLFXDLK-UHFFFAOYSA-N","11197",NA,10518,"C08320","28866"
"719","Myristic acid","Fatty Acyls","Fatty acids","Saturated FA","C14H28O2","228.2089","TUNFSRHWOTWDNC-UHFFFAOYSA-N","11005",NA,8659,"C06424","28875"
"246","7-Methyladenine","Nucleic acids","Purines","6-aminopurines","C6H7N5","149.070145","HCGHYQLFMPXSDU-UHFFFAOYSA-N","71593",NA,5304,"C02241","28921"
"590","N-Acetylcysteine","Organic acids","Amino acids and peptides","Amino acids","C5H9NO3S","163.0303","PWKSKIMOESPYIA-BYPYZUCNSA-N","12035",NA,9028,"C06809","28939"
"741","Behenic acid","Fatty Acyls","Fatty acids","Saturated FA","C22H44O2","340.3341","UKMSUNONTOPOIO-UHFFFAOYSA-N","8215",NA,10479,"C08281","28941"
"881","Theobromine","Nucleic acids","Purines","Xanthines","C7H8N4O2","180.0647","YAPQBXQYLJRXSA-UHFFFAOYSA-N","5429",NA,9683,"C07480","28946"
"837","Citramalic acid","Organic acids","Hydroxy acids","Beta hydroxy acids","C5H8O5","148.0372","XFTRTWQBIOMVPK-YFKPBYRVSA-N","441696",NA,5599,"C02614","29003"
"177","1-Methylhistamine","Organic nitrogen compounds","Amines","Aralkylamines","C6H11N3","125.0953","FHQDWPCFSJMNCT-UHFFFAOYSA-N","3614",NA,7548,"C05127","29009"
"169","Pelargonic acid","Fatty Acyls","Fatty acids","Saturated FA","C9H18O2","158.1307","FBUKVWPVBMHYJY-UHFFFAOYSA-N","8158",NA,4755,"C01601","29019"
"518","Mesobilirubinogen","Organoheterocyclic compounds","Bilirubins","Bilirubins","C33H44N4O6","592.326086","OBHRVMZSZIDDEK-UHFFFAOYSA-N","26818",NA,8085,"C05790","29026"
"445","Glyceraldehyde 3-phosphate","Organic acids","Short-chain acids","Short-chain acids","C3H7O6P","169.9980","LXJXRIRHZLFYRP-VKHMYHEASA-N","439168",NA,3418,"C00118","29052"
"851","Phthalic acid","Benzenoids","Benzoic acids","Benzoic acids","C8H6O4","166.0266","XNGIFLGASWRNHJ-UHFFFAOYSA-N","1017",NA,4759,"C01606","29069"
"663","Indolepyruvate","Organoheterocyclic compounds","Indolyl carboxylic acids","Indolyl carboxylic acids","C11H9NO3","203.0582","RSTKLPZEZYGQPY-UHFFFAOYSA-N","803",NA,3625,"C00331","29750"
"379","Thyronine","Benzenoids","Diarylethers","Diarylethers","C15H15NO4","273.1001","KKCIOUWDFWQUBT-AWEZNQCLSA-N","5461103",NA,8148066,NA,"30662"
"372","Oxaloacetic acid","Organic acids","TCA acids","TCA acids","C4H4O5","132.0059","KHPXUQMNIQBQEV-UHFFFAOYSA-N","970",NA,3338,"C00036","30744"
"802","Phenylacetic acid","Benzenoids","Phenylacetic acids","Phenylacetic acids","C8H8O2","136.0524","WLJVXDMOQOGPHL-UHFFFAOYSA-N","999",NA,9297,"C07086","30745"
"670","2-Aminobenzoic acid","Benzenoids","Benzoic acids","Aminobenzoic acids","C7H7NO2","137.0477","RWZYAGGXGHYGMB-UHFFFAOYSA-N","227",NA,3408,"C00108","30754"
"287","3-Hydroxybenzoic acid","Benzenoids","Benzoic acids","Benzoic acids","C7H6O3","138.031694","IJFXRHURBJZNAO-UHFFFAOYSA-N","7420",NA,3866,"C00587","30764"
"390","Citric acid","Organic acids","TCA acids","TCA acids","C6H8O7","192.0270","KRKNYBCHXYNGOX-UHFFFAOYSA-N","311",NA,3458,"C00158","30769"
"61","Malic acid","Organic acids","TCA acids","TCA acids","C4H6O5","134.0215","BJEPYKJPYRNKOW-REOHCLBHSA-N","222656",NA,3449,"C00149","30797"
"577","Lauric acid","Fatty Acyls","Fatty acids","Saturated FA","C12H24O2","200.1776","POULHZVOKOAJMA-UHFFFAOYSA-N","3893",NA,5649,"C02679","30805"
"215","Capric acid","Fatty Acyls","Fatty acids","Saturated FA","C10H20O2","172.1463","GHVNFZFCNZKVNT-UHFFFAOYSA-N","2969",NA,4728,"C01571","30813"
"429","Urocanic acid","Organoheterocyclic compounds","Imidazoles","Imidazolyl carboxylic acids","C6H6N2O2","138.0429","LOIYMIARKYCTBW-OWOJBTEDSA-N","736715",NA,4043,"C00785","30817"
"720","3-Methyl pyruvic acid","Fatty Acyls","Fatty acids","Oxo FA","C4H6O3","102.0317","TYEYBOSBBBHJIV-UHFFFAOYSA-N","58",NA,3409,"C00109","30831"
"803","Adipic acid","Fatty Acyls","Fatty acids","Dicarboxylic acids","C6H10O4","146.0579","WNLRTRBMVRJNCN-UHFFFAOYSA-N","196",NA,8368,"C06104","30832"
"77","Phenylpyruvic acid","Benzenoids","Benzenes","Phenylpyruvic acid derivatives","C9H8O3","164.0473","BTNMPGBKDVTSJY-UHFFFAOYSA-N","997",NA,3466,"C00166","30851"
"929","Methylmalonic acid","Fatty Acyls","Fatty acids","Dicarboxylic acids","C4H6O4","118.0266","ZIYVHBGGAOATLY-UHFFFAOYSA-N","487",NA,5245,"C02170","30860"
"277","Pipecolic acid","Organic acids","Amino acids and peptides","Amino acids","C6H11NO2","129.0790","HXEACLLIILLPRG-YFKPBYRVSA-N","439227",NA,3698,"C00408","30913"
"386","Oxoglutaric acid","Organic acids","TCA acids","TCA acids","C5H6O5","146.0215","KPGXRSRHYNQIFN-UHFFFAOYSA-N","51",NA,3328,"C00026","30915"
"849","Cerotic acid","Fatty Acyls","Fatty acids","Saturated FA","C26H52O2","396.3967","XMHIUKTWLZUKEX-UHFFFAOYSA-N","10469",NA,70577,NA,"31009"
"452","Atenolol","Benzenoids","Phenols","Phenol ethers","C14H22N2O3","266.1630","METKIMKYRPQLGS-LBPRGKRZSA-N","175540",NA,7848534,NA,"31556"
"349","Indolin-2-one","Organoheterocyclic compounds","Indolines","Indolines","C8H7NO","133.0528","JYGFTBXVXVMTGB-UHFFFAOYSA-N","321710",NA,141940,NA,"31697"
"264","N-Methyl-D-aspartic acid","Organic acids","Amino acids and peptides","Amino acids","C5H9NO4","147.0532","HOKKHZGPKSLGJE-GSVOUGTGSA-N","22880",NA,14414,"C12269","31882"
"380","m-Coumaric acid","Polyketides","Cinnamic acids","Hydroxycinnamic acids","C9H8O3","164.047344","KKSDGJDHHZEWEP-SNAWJCMRSA-N","637541",NA,88761,NA,"32357"
"365","Margaric acid","Fatty Acyls","Fatty acids","Saturated FA","C17H34O2","270.2559","KEMQGTRYUADPNZ-UHFFFAOYSA-N","10465",NA,70180,NA,"32365"
"628","Glyceric acid","Carbohydrates","Monosaccharides","Sugar acids","C3H6O4","106.0266","RBNPOMFGQQGHHO-UWTATZPHSA-N","439194",NA,3557,"C00258","32398"
"294","p-Acetamidophenylglucuronide","Carbohydrates","Monosaccharides","Sugar acids","C14H17NO8","327.0954","IPROLSVTVHAQLE-BYNIDDHOSA-N","83944",NA,8147599,NA,"32636"
"635","5-Acetylamino-6-formylamino-3-methyluracil","Organic nitrogen compounds","Organonitrogen compounds","N-arylamides","C8H10N4O4","226.0702","RDZNZFGKEVDNPK-UHFFFAOYSA-N","108214",NA,6910978,NA,"32643"
"274","2-Hydroxyglutaric acid","Fatty Acyls","Fatty acids","Hydroxy FA","C5H8O5","148.0372","HWXBTNAVRSUOJR-VKHMYHEASA-N","439939",NA,6073,"C03196","32797"
"232","cis-Aconitic acid","Organic acids","TCA acids","TCA acids","C6H6O6","174.0164","GTZCVFVGUGFEME-IWQZZHSRSA-N","643757",NA,3707,"C00417","32805"
"407","Pyruvic acid","Organic acids","Short-chain acids","Short-chain acids","C3H4O3","88.0160","LCTONWCANYUPML-UHFFFAOYSA-N","1060",NA,3324,"C00022","32816"
"641","Gluconic acid","Carbohydrates","Monosaccharides","Sugar acids","C6H12O7","196.0583","RGHNJXZEOKUKBD-SQOUGZDYSA-N","10690",NA,3556,"C00257","33198"
"463","Serine","Organic acids","Amino acids and peptides","Amino acids","C3H7NO3","105.0426","MTCFGRXMJLQNBG-REOHCLBHSA-N","5951",NA,3365,"C00065","33384"
"18","Hydroxypropionic acid","Fatty Acyls","Fatty acids","Hydroxy FA","C3H6O3","90.0317","ALRHLSYJTWAHJZ-UHFFFAOYSA-N","68152",NA,4258,"C01013","33404"
"710","2-Oxo-4-methylthiobutanoic acid","Fatty Acyls","Fatty acids","Oxo FA","C5H8O3S","148.0194","SXFSQZDSUWACKX-UHFFFAOYSA-N","473",NA,4407,"C01180","33574"
"163","11,12-EpETrE","Fatty Acyls","Eicosanoids","EpETrE","C20H32O3","320.2351","DXOYQVHGIODESM-KROJNAHFSA-N","5283204",NA,4266145,NA,"34130"
"816","11-Oxotestosterone","Sterol Lipids","Steroids","C19 steroids","C19H26O3","302.188195","WTPMRQZHJLJSBO-XQALERBDSA-N","5282365",NA,7847066,"C14256","34133"
"940","12S-HETE","Fatty Acyls","Eicosanoids","HETE","C20H32O3","320.2351","ZNHVWPKMFKADKW-LQWMCKPYSA-N","5283155",NA,4266113,NA,"34146"
"235","12-Oxo-ETE","Fatty Acyls","Eicosanoids","HETE","C20H30O3","318.2195","GURBRQGDZZKITB-VXBMJZGYSA-N","5283162",NA,4266123,NA,"34151"
"261","13S-HODE","Fatty Acyls","Octadecanoids","HODEs","C18H32O3","296.2351","HNICUWMFWZBIFP-IRQZEAMPSA-N","6443013",NA,603927,NA,"34154"
"311","14,15-EpETrE","Fatty Acyls","Eicosanoids","EpETrE","C20H32O3","320.2351","JBSCUHKPLGKXKH-ILYOTBPNSA-N","5283205",NA,4266146,NA,"34157"
"498","20-HETE","Fatty Acyls","Eicosanoids","HETE","C20H32O3","320.2351","NNDIXBJHNLFJJP-DTLRTWKJSA-N","5283157",NA,4266115,NA,"34306"
"497","8S-HETE","Fatty Acyls","Eicosanoids","HETE","C20H32O3","320.2351","NLUNAYAEIJYXRB-VYOQERLCSA-N","5283154",NA,4266112,NA,"34486"
"121","8,9-EpETrE","Fatty Acyls","Eicosanoids","EpETrE","C20H32O3","320.2351","DBWQSCSXHFNTMO-TYAUOURKSA-N","5283203",NA,4266144,NA,"34490"
"356","9S-HETE","Fatty Acyls","Eicosanoids","HETE","C20H32O3","320.2351","KATOYYZUTNAWSA-VBLHFSPLSA-N","5283167",NA,4266128,NA,"34495"
"501","9S-HODE","Fatty Acyls","Octadecanoids","HODEs","C18H32O3","296.2351","NPDSHTNEKLQQIJ-UINYOVNOSA-N","5312830",NA,11057176,NA,"34496"
"321","9S-HpODE","Fatty Acyls","Octadecanoids","HpODEs","C18H32O4","312.2301","JGUNZIWGNMQSBM-UINYOVNOSA-N","9548877",NA,14718378,NA,"34498"
"298","Benzyl butyl phthalate","Benzenoids","Benzoic acids","Benzoic acid esters","C19H20O4","312.1362","IRIAEXORFWYRCZ-UHFFFAOYSA-N","2347",NA,114149,NA,"34595"
"180","Diethyl phthalate","Benzenoids","Benzoic acids","Benzoic acid esters","C12H14O4","222.089209","FLKPEMZONWLCSK-UHFFFAOYSA-N","6781",NA,74519,NA,"34698"
"936","Cer(d18:1/14:0)","Sphingolipids","Ceramides","Cer","C32H63NO3","509.4808","ZKRPGPZHULJLKJ-JHRQRACZSA-N","5282310",NA,854160,"C13916","34863"
"867","Cysteine","Organic acids","Amino acids and peptides","Amino acids","C3H7NO2S","121.0198","XUJNEKJLAYXESH-REOHCLBHSA-N","5862",NA,3397,"C00097","35235"
"95","Proline betaine","Organic acids","Amino acids and peptides","Amino acids","C7H13NO2","143.0946","CMUNUTVVOOHQPW-LURJTMIESA-N","115244",NA,2513,NA,"35280"
"136","Pregnenolone sulfate","Sterol Lipids","Steroid conjugates","Steroid sulfates","C21H32O5S","396.1970","DIJBBUIOWGGQOP-QGVNFLHTSA-N","105074",NA,841485,NA,"35420"
"421","Cystine","Organic acids","Amino acids and peptides","Amino acids","C6H12N2O4S2","240.023848","LEVWYRKDKASIDU-IMJSIDKUSA-N","67678",NA,3774,"C00491","35491"
"792","trans-Cinnamic acid","Polyketides","Cinnamic acids","Cinnamic acids","C9H8O2","148.0524","WBYWAXJHAXSJNI-VOTSOKGWSA-N","444539",NA,3713,"C00423","35697"
"764","N(2)-Acetyllysine","Organic acids","Amino acids and peptides","Amino acids","C8H16N2O3","188.1161","VEYYWZRYIYDQJM-ZETCQYMHSA-N","92907",NA,583378,"C12989","35704"
"907","Protocatechuic acid","Benzenoids","Benzoic acids","Hydroxybenzoic acids","C7H6O4","154.0266","YQUVCSBJEUQKSH-UHFFFAOYSA-N","72",NA,3529,"C00230","36062"
"466","3-Hydroxydodecanoic acid","Fatty Acyls","Fatty acids","Hydroxy FA","C12H24O3","216.1725","MUCMKTPAZLSKTL-UHFFFAOYSA-N","94216",NA,4544884,NA,"36206"
"599","Taurolithocholic acid","Sterol Lipids","Bile acids","C24 bile acids","C26H45NO5S","483.3018","QBYUNVOYXHFVKC-GBURMNQMSA-N","439763",NA,5584,"C02592","36259"
"211","Glycochenodeoxycholic acid","Sterol Lipids","Bile acids","C24 bile acids","C26H43NO5","449.3141","GHCZAUBVMUEKKP-GYPHWSFCSA-N","12544",NA,7826,"C05466","36274"
"487","3-Hydroxyoctanoic acid","Fatty Acyls","Fatty acids","Hydroxy FA","C8H16O3","160.1099","NDPLAKGOSZHTPH-ZETCQYMHSA-N","11367166",NA,16459846,NA,"37100"
"122","3-Hydroxyisobutyric acid","Fatty Acyls","Fatty acids","Hydroxy FA","C4H8O3","104.0473","DBXBTMSZEOQQDU-VKHMYHEASA-N","440873",NA,8275,"C06001","37373"
"675","12-Hydroxyjasmonic acid","Fatty Acyls","Octadecanoids","Jasmonic acids","C12H18O4","226.1205","RZGFUGXQKMEMOO-BSANDHCLSA-N","5497122",NA,841267,NA,"37420"
"158","Sphingosine 1-phosphate","Sphingolipids","Sphingoid bases","Sphingoid base 1-P","C18H38NO5P","379.2488","DUYSYHSSBDVJSM-KRWOKUGFSA-N","5283560",NA,8381,"C06124","37550"
"654","Fructose 1,6-bisphosphate","Carbohydrates","Monosaccharides","Monosaccharide phosphates","C6H14O12P2","339.9961","RNBGYGVWRKECFJ-VRPWFDPXSA-N","172313",NA,3647,"C00354","37736"
"828","Glycolithocholic acid","Sterol Lipids","Bile acids","C24 bile acids","C26H43NO4","433.3192","XBSQTYHEGZTYJE-OETIFKLTSA-N","115245",NA,10236704,NA,"37998"
"868","Atorvastatin","Organoheterocyclic compounds","Substituted pyrroles","Substituted pyrroles","C33H35FN2O5","558.253","XUKUURHRXDUEBC-KAYWLYCHSA-N","60823",NA,9052,"C06834","39548"
"918","12-Hydroxy lauric acid","Fatty Acyls","Fatty acids","Hydroxy FA","C12H24O3","216.1725","ZDHCZVWCTKTBRY-UHFFFAOYSA-N","79034",NA,10515,"C08317","39567"
"536","N-Acetylglycine","Organic acids","Amino acids and peptides","Amino acids","C4H7NO3","117.0426","OKJIRPAQVSHGFK-UHFFFAOYSA-N","10972",NA,73439,NA,"40410"
"698","N-Acetylarginine","Organic acids","Amino acids and peptides","Amino acids","C8H16N4O3","216.1222","SNEIUMQYRCDYCH-LURJTMIESA-N","67427",NA,837494,NA,"40521"
"395","N-Acetylalanine","Organic acids","Amino acids and peptides","Amino acids","C5H9NO3","131.0582","KTHDTJVBEPMMGL-VKHMYHEASA-N","88064",NA,10222823,NA,"40992"
"57","Cholesterol sulfate","Sterol Lipids","Steroid conjugates","Sulfates","C27H46O4S","466.3117","BHYOQNUELFTYRT-DPAQBDIFSA-N","65076",NA,611384,NA,"41321"
"114","Sebacic acid","Fatty Acyls","Fatty acids","Dicarboxylic acids","C10H18O4","202.1205","CXMXRPHRNRROMY-UHFFFAOYSA-N","5192",NA,10475,"C08277","41865"
"359","Edetic acid","Organic acids","Carboxylic acids","Tetracarboxylic acids","C10H16N2O8","292.0907","KCXVZYZYPLLWCC-UHFFFAOYSA-N","6049",NA,3579,"C00284","42191"
"30","Dethiobiotin","Fatty Acyls","Fatty acids","Heterocyclic FA","C10H18N2O3","214.1317","AUTOLBMXDDTRRT-JGVFFNPUSA-N","445027",NA,831455,NA,"42280"
"836","Tricosanoic acid","Fatty Acyls","Fatty acids","Saturated FA","C23H46O2","354.3498","XEZVDURJDFGERA-UHFFFAOYSA-N","17085",NA,825784,NA,"42394"
"806","Pentadecylic acid","Fatty Acyls","Fatty acids","Saturated FA","C15H30O2","242.2246","WQEPLUUGTLDZJY-UHFFFAOYSA-N","13849",NA,88472,NA,"42504"
"734","Gabapentin","Organic acids","Amino acids and peptides","Amino acids","C9H17NO2","171.1259","UGJMXCAKCUNAIE-UHFFFAOYSA-N","3446",NA,9230,"C07018","42797"
"292","25-Hydroxycholesterol","Sterol Lipids","Sterols","Oxysterols","C27H46O2","402.3498","INBGSXNNRGWLJU-ZHHJOTBYSA-N","65094",NA,629188,NA,"42977"
"774","Phenyllactic acid","Polyketides","Phenylpropanoids","Phenylpropanoic acids","C9H10O3","166.0630","VOXXWSYKYCBWHO-QMMMGPOBSA-N","444718",NA,3135308,NA,"43065"
"10","Alloisoleucine","Organic acids","Amino acids and peptides","Amino acids","C6H13NO2","131.0946","AGPKZVBTJJNPAG-UHNVWZDZSA-N","99288",NA,10230443,NA,"43433"
"229","3-Indolepropionic acid","Organoheterocyclic compounds","Indolyl carboxylic acids","Indolyl carboxylic acids","C11H11NO2","189.0790","GOLXRNDWAUTYKT-UHFFFAOYSA-N","3744",NA,69770,NA,"43580"
"652","Lisinopril","Organic acids","Amino acids and peptides","Dipeptides","C21H31N3O5","405.226371","RLAWWYSOJDYHDC-BZSNNMDCSA-N","5362119",NA,7888691,NA,"43755"
"874","N(6),N(6)-Dimethyl-lysine","Organic acids","Amino acids and peptides","Amino acids","C8H18N2O2","174.136828","XXEWFEBMSGLYBY-ZETCQYMHSA-N","193344",NA,7890871,NA,"43997"
"179","Metyrapone","Organic oxygen compounds","Ketones","Aryl alkyl ketones","C14H14N2O","226.110613","FJLBFSROUSIWMA-UHFFFAOYSA-N","4174",NA,9414,"C07205","44241"
"352","meta-Tyrosine","Organic acids","Amino acids and peptides","Amino acids","C9H11NO3","181.073893","JZKXXXDKRQWDET-QMMMGPOBSA-N","6950578",NA,15066944,NA,"44303"
"168","Nitrotyrosine","Organic acids","Amino acids and peptides","Amino acids","C9H10N2O5","226.0590","FBTSQILOGYXGMD-LURJTMIESA-N","65124",NA,3139549,NA,"44454"
"153","Phosphoenolpyruvic acid","Organic acids","Short-chain acids","Short-chain acids","C3H5O6P","167.9824","DTBNBXWJWCWCIK-UHFFFAOYSA-N","1005",NA,3374,"C00074","44897"
"286","TMP","Nucleic acids","Pyrimidines","Pyrimidine ribonucleoside monophosphates","C10H15N2O9P","338.0515","IGWHDMPTQKSDTL-JXOAFFINSA-N","12803287",NA,42687657,NA,"45394"
"325","N-Acetylserine","Organic acids","Amino acids and peptides","Amino acids","C5H9NO4","147.0532","JJIHLJJYMXLCOY-BYPYZUCNSA-N","65249",NA,8189586,NA,"45441"
"332","Levulinic acid","Fatty Acyls","Fatty acids","Oxo FA","C5H8O3","116.0473","JOOXCMJARBKPKM-UHFFFAOYSA-N","11579",NA,70155,NA,"45630"
"701","N-Acetylneuraminic acid","Carbohydrates","Monosaccharides","N-acylneuraminic acids","C11H19NO9","309.105981","SQVRNKJHWKZAKO-PFQGKNLYSA-N","445063",NA,585493,NA,"45744"
"160","Ribothymidine","Nucleic acids","Pyrimidines","Pyrimidine ribonucleosides","C10H14N2O6","258.0852","DWRXFEITVBNRMK-JXOAFFINSA-N","445408",NA,811760,NA,"45996"
"603","4-Acetamidobenzoic acid","Benzenoids","Benzoic acids","Acylaminobenzoic acids","C9H9NO3","179.058243","QCXJEYYXVJIFCE-UHFFFAOYSA-N","19266",NA,70402,NA,"46171"
"677","Acetaminophen","Benzenoids","Phenols","Aminophenols","C8H9NO2","151.0633","RZVAJINKPMORJF-UHFFFAOYSA-N","1983",NA,9023,"C06804","46195"
"755","cis-Zeatin","Nucleic acids","Purines","Purines","C10H13N5O","219.11201","UZKQTCBAMSWPJD-UQCOIBPSSA-N","688597",NA,9286714,NA,"46570"
"415","Uric acid","Nucleic acids","Purines","Xanthines","C5H4N4O3","168.0283","LEHOTFFKMJEONL-UHFFFAOYSA-N","1175",NA,3273,NA,"46811"
"412","Uric acid","Nucleic acids","Purines","Xanthines","C5H4N4O3","168.0283","LEHOTFFKMJEONL-UHFFFAOYSA-N","1175",NA,3273,NA,"46814"
"417","Uric acid","Nucleic acids","Purines","Xanthines","C5H4N4O3","168.0283","LEHOTFFKMJEONL-UHFFFAOYSA-N","1175",NA,3273,NA,"46817"
"416","Uric acid","Nucleic acids","Purines","Xanthines","C5H4N4O3","168.0283","LEHOTFFKMJEONL-UHFFFAOYSA-N","1175",NA,3273,NA,"46823"
"214","Pantothenic acid","Organic acids","Amino acids and peptides","Amino acids","C9H17NO5","219.1107","GHOKWGTUZJEAQD-ZETCQYMHSA-N","6613",NA,4121,"C00864","46905"
"812","Vanillylamine","Benzenoids","Phenols","Methoxyphenols","C8H11NO2","153.078979","WRPWWVNUCXQDQV-UHFFFAOYSA-N","70966",NA,3249402,NA,"46958"
"8","Phytosphingosine","Sphingolipids","Sphingoid bases","Phytosphingosines","C18H39NO3","317.2930","AERBNCYCJBRYDG-KSZLIROESA-N","122121",NA,14291,"C12144","46961"
"250","Ibuprofen","Polyketides","Phenylpropanoids","Phenylpropanoic acids","C13H18O2","206.1307","HEFNNWSXXWATRW-SNVBAGLBSA-N","114864",NA,841635,NA,"47835"
"46","Azelaic acid","Fatty Acyls","Fatty acids","Dicarboxylic acids","C9H16O4","188.1049","BDJRBEYXGGNYIS-UHFFFAOYSA-N","2266",NA,10460,"C08261","48131"
"492","Erythrose 4-phosphate","Carbohydrates","Monosaccharides","Monosaccharide phosphates","C4H9O7P","200.0086","NGHMDNPXVRFFGS-IUYQGCFVSA-N","122357",NA,3574,"C00279","48153"
"25","N-Methylserotonin","Organoheterocyclic compounds","Tryptamines","Serotonins","C11H14N2O","190.110613","ASUSBMNYRHGZIG-UHFFFAOYSA-N","150885",NA,8459,"C06212","48294"
"62","Ketoleucine","Organic acids","Keto acids","Short-chain keto acids","C6H10O3","130.0630","BKAJNAXTPSGJCU-UHFFFAOYSA-N","70",NA,3532,"C00233","48430"
"436","Xanthine","Nucleic acids","Purines","Xanthines","C5H4N4O2","152.0334","LRFVTYWOQMYALW-UHFFFAOYSA-N","1188",NA,3286,NA,"48517"
"58","6-Phosphogluconic acid","Carbohydrates","Monosaccharides","Monosaccharide phosphates","C6H13O10P","276.0246","BIRSGZKFKXLSJQ-SQOUGZDYSA-N","91493",NA,3638,"C00345","48928"
"565","7-Methylxanthine","Nucleic acids","Purines","Xanthines","C6H6N4O2","166.0491","PFWLFWPASULGAN-UHFFFAOYSA-N","68374",NA,73626,NA,"48991"
"702","N-Acetyl-alpha-neuraminic acid","Carbohydrates","Monosaccharides","Sugar acids","C11H19NO9","309.1060","SQVRNKJHWKZAKO-YRMXFSIDSA-N","444885",NA,584407,NA,"49026"
"604","Methionine sulfoxide","Organic acids","Amino acids and peptides","Amino acids","C5H11NO3S","165.0460","QEFRNWWLZKMPFJ-ZXPFJRLXSA-N","10062737",NA,44179758,NA,"49032"
"375","5-Hydroxyectoine","Organic acids","Amino acids and peptides","Amino acids","C6H10N2O3","158.069142","KIIBBJKLKFTNQO-WHFBIAKZSA-N","12011795",NA,46493497,NA,"49432"
"148","Rosmarinic acid","Polyketides","Hydroxycinnamic acids","Coumaric acids","C18H16O8","360.0845","DOUMFZQKYFQNTF-WUTVXBCWSA-N","5281792",NA,4967,"C01850","50371"
"72","1-Methylhistidine","Organic acids","Amino acids and peptides","Amino acids","C7H11N3O2","169.0851","BRMWTNUJHUMWMS-LURJTMIESA-N","92105",NA,10225185,NA,"50599"
"116","N-Methylhistidine","Organic acids","Amino acids and peptides","Amino acids","C7H11N3O2","169.0851","CYZKJBZEIFWZSR-LURJTMIESA-N","90638",NA,6154,"C03298","50601"
"685","9-cis-Retinoic acid","Prenol Lipids","Isoprenoids","Retinoids","C20H28O2","300.20893","SHGAZHPCJJPHSC-ZVCIMWCZSA-N","449171",NA,509159,NA,"50648"
"149","2-Methyl-4,5-benzoxazole","Organoheterocyclic compounds","Benzoxazoles","Benzoxazoles","C8H7NO","133.052764","DQSHFKPKFISSNM-UHFFFAOYSA-N","7225",NA,70255,NA,"51603"
"859","Taurohyocholic acid","Sterol Lipids","Bile acids","C24 bile acids","C26H45NO7S","515.2917","XSOLDPYUICCHJX-QZEPYOAJSA-N","11954195",NA,17396508,"C15516","52022"
"133","Hyodeoxycholic acid","Sterol Lipids","Bile acids","C24 bile acids","C24H40O4","392.2927","DGABKXLVXPYZII-SIBKNCMHSA-N","5283820",NA,7850912,NA,"52023"
"629","MG(20:4)","Glycerolipids","Monoradylglycerols","MAG","C23H38O4","378.2770","RCRCTBLIHCHWDZ-DOFZRALJSA-N","5282280",NA,854101,"C13856","52392"
"450","5-Oxo-ETE","Fatty Acyls","Eicosanoids","HETE","C20H30O3","318.2195","MEASLHGILYBXFO-XTDASVJISA-N","5283159",NA,4266117,NA,"52449"
"396","Ribose 5-phosphate","Carbohydrates","Monosaccharides","Monosaccharide phosphates","C5H11O8P","230.0192","KTVPXOYAKDPRHY-SOOFDHNKSA-N","439167",NA,3417,"C00117","52742"
"67","Cer(d18:0/24:0)","Sphingolipids","Ceramides","DHCer","C42H85NO3","651.6529","BPLYVSYSBPLDOA-WVILEFPPSA-N","5283577",NA,7850636,NA,"52961"
"598","Palmitoleoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C37H64N7O17P3S","1003.3292","QBYOCCWNZAOZTL-MDMKAECGSA-N","25244394",NA,85240211,NA,"53152"
"729","CAR(3:0)","Fatty Acyls","Fatty esters","Short-chain acyl carnitines","C10H19NO4","217.1314","UFAHZIUFPNSHSL-MRVPVSSYSA-N","188824",NA,10260891,NA,"53210"
"4","3-Chlorotyrosine","Organic acids","Amino acids and peptides","Amino acids","C9H10ClNO3","215.0349","ACWBBAGYTKWBCD-ZETCQYMHSA-N","110992",NA,10235418,NA,"53678"
"733","Juniperic acid","Fatty Acyls","Fatty acids","Hydroxy FA","C16H32O3","272.2351","UGAGPNKCDRTDHP-UHFFFAOYSA-N","10466",NA,436272,NA,"55328"
"838","Indolelactic acid","Organoheterocyclic compounds","Indolyl carboxylic acids","Indolyl carboxylic acids","C11H11NO3","205.0739","XGILAAMKEQUXLS-SNVBAGLBSA-N","676158",NA,9281120,NA,"55528"
"135","Glycine","Organic acids","Amino acids and peptides","Amino acids","C2H5NO2","75.0320","DHMQDGOQFOQNFH-UHFFFAOYSA-N","750",NA,3339,"C00037","57305"
"658","Leucine","Organic acids","Amino acids and peptides","Amino acids","C6H13NO2","131.0946","ROHFNLRQFUQHCH-YFKPBYRVSA-N","6106",NA,3423,"C00123","57427"
"190","Sarcosine","Organic acids","Amino acids and peptides","Amino acids","C3H7NO2","89.0477","FSYKKLYZXJSNPZ-UHFFFAOYSA-N","1088",NA,3513,"C00213","57433"
"739","Homoserine","Organic acids","Amino acids and peptides","Amino acids","C4H9NO3","119.0582","UKAUYVFTDYCKQA-VKHMYHEASA-N","12647",NA,3561,"C00263","57476"
"105","Carnosine","Organic acids","Amino acids and peptides","Hybrid peptides","C9H14N4O3","226.1066","CQOVPNPJLQNMDC-ZETCQYMHSA-N","439224",NA,3676,"C00386","57485"
